job_title,company_location,datePublication,job_category,city,country,ID,Year,Month,Day,level,job_category_id,level_id
Data Analyst H/F,Greater Paris Metropolitan Region,2024-01-01,Data Analyst,Paris,France,1,2024,January,1,Not Specified,1,4
Data Scientist,Reims Grand Est France,2024-01-01,Data Scientist,Reims,France,1,2024,January,1,Not Specified,2,4
Junior Financial Business Analyst,Issy-les-Moulineaux Île-de-France France,2024-01-01,Data Analyst,Unknown,France,1,2024,January,1,Not Specified,1,4
Media Data intern,Paris Île-de-France France,2024-01-01,Other,Paris,France,1,2024,January,1,Not Specified,3,4
Data Scientist Assistant,Montpellier Occitanie France,2024-01-01,Data Scientist,Montpellier,France,1,2024,January,1,Not Specified,2,4
Alternance - Data Scientist / Data Analyst (H/F),Paris Île-de-France France,2024-01-01,Data Scientist,Paris,France,1,2024,January,1,Not Specified,2,4
Data Scientist,Paris Île-de-France France,2024-01-01,Data Scientist,Paris,France,1,2024,January,1,Not Specified,2,4
Data Analyst,Paris Île-de-France France,2024-01-01,Data Analyst,Paris,France,1,2024,January,1,Not Specified,1,4
Data Scientist Intern,Montpellier Occitanie France,2024-01-01,Data Scientist,Montpellier,France,1,2024,January,1,Not Specified,2,4
HR Data Analyst,Paris Île-de-France France,2024-01-01,Data Analyst,Paris,France,1,2024,January,1,Not Specified,1,4
HR DATA ANALYST H/F - CDI,Paris Île-de-France France,2024-01-01,Data Analyst,Paris,France,1,2024,January,1,Not Specified,1,4
Tiktok production & Social Assistant,Paris Île-de-France France,2024-01-01,Other,Paris,France,1,2024,January,1,Not Specified,3,4
Business & Data Analyst - stage,Paris Île-de-France France,2024-01-01,Data Analyst,Paris,France,1,2024,January,1,Not Specified,1,4
Data Analyst,Paris Île-de-France France,2024-01-01,Data Analyst,Paris,France,1,2024,January,1,Not Specified,1,4
DATA ANALYST POWER BI H/F,Marseille Provence-Alpes-Côte d'Azur France,2024-01-01,Business Intelligence Analyst,Marseille,France,1,2024,January,1,Not Specified,4,4
Data analyst F/H,Villejuif Île-de-France France,2024-01-01,Data Analyst,Unknown,France,1,2024,January,1,Not Specified,1,4
Data Scientist H/F,Bordeaux Nouvelle-Aquitaine France,2024-01-01,Data Scientist,Bordeaux,France,1,2024,January,1,Not Specified,2,4
GRADUATE PROGRAM - REGENERATIVE AGRICULTURE & DATA MANAGEMENT,Greater Reims Area,2024-01-01,Other,Reims,France,1,2024,January,1,Not Specified,3,4
Data Scientist (H/F) – Digital Factory,Paris Île-de-France France,2024-01-01,Data Scientist,Paris,France,1,2024,January,1,Not Specified,2,4
Assistant d’Etudes Marketing H/F,Paris Île-de-France France,2024-01-01,Other,Paris,France,1,2024,January,1,Not Specified,3,4
R&D Data Analyst,Lille Hauts-de-France France,2024-01-01,Data Analyst,Lille,France,1,2024,January,1,Not Specified,1,4
R&D Data Analyst,Lyon Auvergne-Rhône-Alpes France,2024-01-01,Data Analyst,Unknown,France,1,2024,January,1,Not Specified,1,4
Data Analyst,Paris Île-de-France France,2024-01-01,Data Analyst,Paris,France,1,2024,January,1,Not Specified,1,4
Apprentissage Data Analyste – Air France Industries H/F H/F,Occitanie France,2024-01-01,Data Analyst,Unknown,France,1,2024,January,1,Not Specified,1,4
Data scientist,Greater Paris Metropolitan Region,2024-01-01,Data Scientist,Paris,France,1,2024,January,1,Not Specified,2,4
Retail Performance Analyst Intern,Paris Île-de-France France,2024-01-01,Data Analyst,Paris,France,1,2024,January,1,Not Specified,1,4
ESG & Impact Analyst Internship,Lyon Auvergne-Rhône-Alpes France,2024-01-01,Data Analyst,Unknown,France,1,2024,January,1,Not Specified,1,4
Data analyst & Performance manager,Paris Île-de-France France,2024-01-01,Data Analyst,Paris,France,1,2024,January,1,Not Specified,1,4
Alternance - Data Scientist junior,Marseille Provence-Alpes-Côte d'Azur France,2024-01-01,Data Scientist,Marseille,France,1,2024,January,1,Junior,2,1
Data Scientist/Data Analyst – Financial Risk Management (H/F),Paris Île-de-France France,2024-01-01,Data Scientist,Paris,France,1,2024,January,1,Not Specified,2,4
Battery Scientist (m/f/x),Toulouse Occitanie France,2024-01-01,Other,Toulouse,France,1,2024,January,1,Not Specified,3,4
Data Scientist - F/H,Sophia Antipolis Provence-Alpes-Côte d'Azur France,2024-01-01,Data Scientist,Unknown,France,1,2024,January,1,Not Specified,2,4
Business Controller Intern,Paris Île-de-France France,2024-01-01,Other,Paris,France,1,2024,January,1,Not Specified,3,4
DATA ANALYST,Paris Île-de-France France,2024-01-01,Data Analyst,Paris,France,1,2024,January,1,Not Specified,1,4
Data Analyst,Paris Île-de-France France,2024-01-01,Data Analyst,Paris,France,1,2024,January,1,Not Specified,1,4
Global Market Data Analyst,Paris Île-de-France France,2024-01-01,Data Analyst,Paris,France,1,2024,January,1,Not Specified,1,4
R&D Data Scientist - CDI,Paris Île-de-France France,2024-01-01,Data Scientist,Paris,France,1,2024,January,1,Not Specified,2,4
Apprenti(e) Data Scientist,Marseille Provence-Alpes-Côte d'Azur France,2024-01-01,Data Scientist,Marseille,France,1,2024,January,1,Not Specified,2,4
Consultant(e) Data Scientist,Paris Île-de-France France,2024-01-01,Data Scientist,Paris,France,1,2024,January,1,Not Specified,2,4
HR Data Analyst,Montpellier Occitanie France,2024-01-01,Data Analyst,Montpellier,France,1,2024,January,1,Not Specified,1,4
Data Analyst H/F,Treize-Vents Pays de la Loire France,2024-01-01,Data Analyst,Unknown,France,1,2024,January,1,Not Specified,1,4
Business Data Analyst,Issy-les-Moulineaux Île-de-France France,2024-01-01,Data Analyst,Unknown,France,1,2024,January,1,Not Specified,1,4
Data Scientist,Issy-les-Moulineaux Île-de-France France,2024-01-01,Data Scientist,Unknown,France,1,2024,January,1,Not Specified,2,4
Data Scientist - CDI,Paris Île-de-France France,2024-01-01,Data Scientist,Paris,France,1,2024,January,1,Not Specified,2,4
Head of Data Strategy & Growth,Neuilly-sur-Seine Île-de-France France,2024-01-01,Head of Products,Unknown,France,1,2024,January,1,Expert,5,3
Stage - Data Scientist - ML (H/F),Issy-les-Moulineaux Île-de-France France,2024-01-01,Data Scientist,Unknown,France,1,2024,January,1,Not Specified,2,4
Data Scientist - Paris,Paris Île-de-France France,2024-01-01,Data Scientist,Paris,France,1,2024,January,1,Not Specified,2,4
Data Analyst H/F,Villeneuve-d’Ascq Hauts-de-France France,2024-01-01,Data Analyst,Unknown,France,1,2024,January,1,Not Specified,1,4
Alternant Data Analyst HF,Limonest Auvergne-Rhône-Alpes France,2024-01-01,Data Analyst,Unknown,France,1,2024,January,1,Not Specified,1,4
Python Data Scientist/Analyst - LLM Project,France,2024-01-01,Python Developer,Unknown,France,1,2024,January,1,Not Specified,6,4
Data Analyst,Greater Paris Metropolitan Region,2024-01-01,Data Analyst,Paris,France,1,2024,January,1,Not Specified,1,4
Data Analyst Python (H/F),Paris Île-de-France France,2024-01-01,Python Developer,Paris,France,1,2024,January,1,Not Specified,6,4
Data Scientist en Alternance H/F,Morlaix Brittany France,2024-01-01,Data Scientist,Unknown,France,1,2024,January,1,Not Specified,2,4
Consultant Data & IA,10th arrondissement of Marseille France,2024-01-01,Other,Marseille,France,1,2024,January,1,Not Specified,3,4
Senior Data Product Analyst,Paris Île-de-France France,2024-01-01,Data Analyst,Paris,France,1,2024,January,1,Not Specified,1,4
R&D Data Scientist - CDI,Paris Île-de-France France,2024-01-01,Data Scientist,Paris,France,1,2024,January,1,Not Specified,2,4
