,adresseOffre,intitule,datePublication,datePremierePublication,LANGUE,SAVOIR_ETRE,SAVOIR_FAIRE,salaireTexte,entreprise,enseigne,description,profil,entreprise_description
0,NEUILLY SUR SEINE,Développeur Python F/H,2023-11-23T06:09:41.000+0000,2023-11-23T06:09:41.000+0000,['Anglais'],"['Autonomie', 'Capacité de communication', 'Rigueur']","['Linux', 'Python', 'Web', 'Administration système et réseau', 'Architecture matérielle', 'CentOS', 'Communication orale', 'Debian', 'Fedora', 'GIT', 'JavaScript', 'Langage de script', 'Maintenance', 'MCO', 'Packaging', 'Perl', 'Red Hat Enterprise Linux', 'Relation client', 'ShellPack', 'Suite des protocoles Internet', 'Traitement des données', 'Transmission Control Protocol']",40 - 50 k€ brut annuel,MICHAEL PAGE INTERNATIONAL FRANCE,MICHAEL PAGE INTERNATIONAL FRANCE,"Comme Développeur Python, vos missions principales seront :Faire la conception et maintien en conditions opérationnelles des socles techniques embarqués sous Linux,Contribuer à la conception de nos solutions de traitement de données et de diffusion, écrites en python,Faire la conception, optimisation et évolution des solutions de maintenance et télédistribution,Conseiller et faire l'expertise auprès des équipes produit et déploiement,Faire le support auprès des équipes de production (support 3ème niveau).","En tant que Développeur Python, vous justifiez d'environ 3 ans d'expériences dans la conception et mise en place d'architectures techniques.Vous avez également les compétences suivantes : Capacité à analyser des situations complexes, capacité de compréhension des enjeux métiers et un sens de la relation client, rigoureux, autonome, agile, bonne communication tant par oral que par écrit, anglais courant (parlé et écrit).Vos compétences techniques sont les suivantes : Linux Fedora, Redhat, CentOS, Debian,Python (+shell, web, C),Scripting (shell, perl),Packaging (RPM),Git,Environnement web, JS,Administration système, TCP/IP.",Entreprise française présente dans plus de 80 payes et leader mondial dans le domaine de la communication extérieure. Ce poste en CDI est à basé au Plaisir (Yvelines).
1,PARIS 18,Développeur Python F/H,2023-11-23T08:27:41.000+0000,2023-11-08T13:44:36.000+0000,,,"['Analyse des besoins', 'Django', 'Framework de programmation', 'Maintenance', 'Méthodologie agile', 'Python', 'Réalisation de tests', 'Rédaction']",A négocier,KAPA IT,KAPA IT,"Sous la responsabilité d'un chef de projet et pour le compte de cette structure internationale, vous participerez aux différentes phases du projet :- Recueil des besoins auprès des utilisateurs- Rédaction des spécifications- Conception/Développement- Réalisation des tests d'intégration- Maintenance corrective et évolutive de la solutionVous travaillerez dans un environnement Python,  Django/flask, ReactEn méthode Agile ou Cycle en V.","Formation Bac+5 type école d'ingénieurs ou équivalent universitaire, vous êtes récemment diplômé (stage en développement ) ou avez acquis une expérience à la suite de votre formation en conception et développement","Kapa IT, ESN présente sur le territoire national, recherche en pré-recrutement au profit d'un de nos clients à dimension internationale"
2,PARIS 18,Développeur Python F/H,2023-11-23T08:27:25.000+0000,2023-11-08T13:25:02.000+0000,,,"['Analyse des besoins', 'Cycle en V', 'Django', 'Framework de programmation', 'Maintenance', 'Méthodologie agile', 'Python', 'Réalisation de tests', 'Rédaction']",A négocier,KAPA IT,KAPA IT,"Sous la responsabilité d'un chef de projet et pour le compte de cette structure internationale, vous participerez aux différentes phases du projet :- Recueil des besoins auprès des utilisateurs- Rédaction des spécifications- Conception/Développement- Réalisation des tests d'intégration- Maintenance corrective et évolutive de la solutionVous travaillerez dans un environnement Python,  Django/flask, ReactEn méthode Agile ou Cycle en V","Formation Bac+5 type école d'ingénieurs ou équivalent universitaire, vous êtes récemment diplômé (stage en développement ) ou avez acquis une expérience à la suite de votre formation en conception et développement","Kapa IT, ESN présente sur le territoire national, recherche en pré-recrutement au profit d'un de nos clients à dimension internationale"
3,GRENOBLE,Développeur Python F/H,2023-11-22T14:06:53.000+0000,2023-11-13T15:52:08.000+0000,"['Français', 'Anglais']","[""Esprit d'équipe"", 'Force de proposition']","['Python', 'ReactJS', 'Application Web', 'Base de données', 'Conception informatique', 'Docker', 'Fastapi', 'Framework', 'GIT', 'Industrie 4.0', 'Intelligence artificielle', 'JavaScript', 'Linux', 'MongoDB', 'PL-PGSQL', 'Amazon Web Services', 'Microsoft Windows Azure', 'Google Cloud Plateform']",A partir de 50 k€ brut annuel,D3S,D3S,"L'équipe D3S propose des solutions logicielles innovantes pour améliorer la performance des grands industriels (AIRBUS, RENAULT, SAFRAN, etc). Nous travaillons en équipe dans nos locaux (pas de prestation en régie chez les clients) avec possibilité de télétravail 2 jours par semaine. Nous sommes basés au cœur des Alpes, à Grenoble.Développeur Python / Full StackVous intégrez une équipe dynamique de haut niveau (X, Centrale, Ensimag, Supaero, etc). Vous contribuerez à la conception, au développement et à la mise en œuvre de nos solutions.Votre premier projet: intégrer l'équipe de développement d'une nouvelle génération de logiciel IA exploitant massivement les plans 3D des pièces dans l'automobile, l'aéronautique, etc. Vous travaillez en interaction avec les data scientists développant des algorithmes avancés (Python) et les développeurs front end (React). ","Ingénieur passionné par le développementVous êtes développeur avec une grande maitrise de Python, à la recherche de nouveaux défis et d'une montée en compétence rapide. Votre profil :Ingénieurs grandes écoles spécialité informatiqueMaitrise avancée de Python, notions en JavascriptConnaissance des frameworks et bibliothèques populaires tels que Flask, FastAPI, React, etcExpérience en développement logiciel, de préférence sur des applications webCompréhension des bases de données relationnelles (PgSQL) et non relationnelles (MongoDB)Maitrise de Git et connaissances en CI/CDNotions en Linux, docker ou kubernetesNotions G-Cloud, Azure et AWS","Depuis 2016, D3S développe des algorithmes et solutions logicielles pour les leaders de l'industrie.Nous avons une expertise reconnue dans l'analyse massive de données, le développement  de prototypes / logiciels intégrant des modélisations complexes et une activité de R&D en IA appliquée entre autres aux données 3D et au NLP ciblé technique.Les projets récents ont permis à nos client: d'évaluer en masse le coût de fabrication des produits, de réduire les non qualités sur la chaine de production, d'éviter les ruptures d'approvisionnement, de concevoir des produits plus efficients, de réduire l'impact carbone, etc.Nous sommes associés avec le cabinet STEP, spécialiste du conseil en stratégie et performance avec 60 collaborateurs entre Paris et Toulouse (www.step-consulting.fr).info@d3s.aihttps://d3s.ai/"
4,AIX EN PROVENCE,Developpeur Python F/H,2023-11-22T16:24:46.000+0000,2023-10-17T07:32:04.000+0000,['Anglais'],"[""Esprit d'équipe"", 'Curiosité', 'Passionne', 'Polyvalence', 'Rigueur']","['Qualité', 'Communication', 'Communication écrite', 'Communication orale', 'Craftmanship', 'Django', 'JavaScript', 'Python']",43 - 45 k€ brut annuel,WORKSOFT,WORKSOFT,"Notre client niçois développe des solutions IT pour les opérateurs télécoms de plusieurs groupes.Afin de compléter sa nouvelle équipe, il recherche un développeur fullstack ayant une sensibilité pour le software craftmanship , pouvant communiquer sa passion pour le design d'applications souples et évolutives, et surtout ayant à cœur d'écrire du code de qualité avec un vrai sens du design orienté objet.Tu intègreras une équipe de passionnés, dans laquelle le travail d'équipe et la qualité sont de réelles valeurs.","Compétences :  1 an Min d expérience en Python, Django, JS Une première expérience dans un projet d envergure est un + Rigueur Curiosité Polyvalence Proactivité Communication et travail d équipe Communication écrite et orale en anglais Stack de notre client :  Python, Django, JS JIRA, Confluence Gitlab CI, Sentry  Docker  ","WORKSOFT est un cabinet de recrutement IT en région PACA au rayonnement nationalNos postes : de la start-up à la grande entreprise nous choisissons des sujets innovants pour l'épanouissement de nos candidats : Fintech, applications mobiles, projets Défense, Fret, Aéronautique, véhicules connectés, Big Data, Médias, agence marketing...Notre objectif : Valoriser le capital humain et faire en sorte que les envies rencontrent les projets. Notre promesse : Trouver votre prochain job en adéquation avec vos aspirations !"
5,MEYZIEU,Développeur Python F/H,2023-11-23T08:42:27.000+0000,2023-09-06T07:53:51.000+0000,['Anglais'],"['Capacité de communication', 'Curiosité', ""Esprit d'équipe"", 'Force de proposition', 'Polyvalence', 'Proactivité', 'Rigueur', 'Sens du relationnel']","['Scrum', 'Communication écrite', 'Communication orale', 'Django', 'JavaScript', 'Python', 'Analyse technique', 'Documentation', 'Documentation technique', 'Jira', 'Maintenance', 'Méthodologie agile', 'Mise en production', 'Roadmap', 'Suivi de la production', 'Suivi de projets et de dossiers', 'Vision du produit']",43 - 45 k€ brut annuel,IDEAL MATCH,IDEAL MATCH,"Vous intégrez un projet collaboratif visant à continuer de faire évoluer le produit historique de la société.Votre équipe Scrum est composée de 5 / 6 personnes : PO, Scrum, Lead et Développeur.Vous participez activement, avec votre équipe, à la conception et la mise en œuvre des nouvelles fonctionnalités du produit et à la maintenance de diverses fonctionnalités.En méthodologie agile Scrum, vos missions sont les suivantes :Effectuer des analyses techniques approfondies.Contribuer à l'élaboration à la RoadmapDéveloppement des nouvelles fonctionnalitésAssurer le suivi de la mise en production depuis l'intégration jusqu'à la phase opérationnelle.Fournir une assistance en phase de production.Participer à la mise en place de bonnes pratiques.Rédiger la documentation techniqueDéplacement à prévoir en Europe, une fois tous les moisStack technique : Python, Django, JS, JIRA, Confluence,Gitlab CI, Sentry,Docker"," Profil : Vous avez une première expérience réussie sur des projets d envergure ( 1 an en CDI minimum)Vous maitrisez Python et Django et avez de bonnes connaissances en JSIdéalement vous avez déjà travaillé dans un environnement agileDans cet environnement international, vous maitrisez l anglais à l oral et à l'écritVous avez un bon relationnel et une excellente communication écrite et orale.Vous avez une vision technique du produit Vos soft skills : proactivité, force de proposition, esprit d équipe, bonne communication écrite et orale, rigueur, curiosité et polyvalence","Notre client  opère dans le secteur des technologies de l'information (IT) pour les opérateurs de télécommunications. Depuis sa création en 2015, les équipes ont travaillé sur des projets de transformation dans différents domaines, tels que la gestion de la relation client , la facturation, la planification des ressources de l'entreprise et le développement d'outils spécifiques à leur activité. Le groupe, auquel la société est affiliée, continue d'investir dans le secteur des télécommunications, et s engage à poursuivre leur croissance afin de relever les nouveaux défis et recherche donc un Développeur Python Django. Actuellement, l entreprise est composée de plus de  50 développeurs passionnés provenant de divers horizons."
6,,Développeur Python F/H,2023-11-23T01:09:44.000+0000,2023-11-06T01:42:51.000+0000,"['Anglais', 'Français', 'Néerlandais']","[""Capacité d'analyse"", 'Force de proposition', 'Passionne', 'Rigueur', ""Sens de l'organisation""]","['Base de données', 'DevOps', 'Django', 'Documentation', 'Framework', 'Framework de programmation', 'Intégration continue', 'Jenkins', 'Kubernetes', 'Méthodologie agile', 'Outils de développement', 'Python', 'Rédaction', 'Test Driven Development', 'Test unitaire']",A négocier,Hellowork,Hellowork,"Entouré(e) d'une équipe de passionnés, comme vous, vous aurez la charge de :Participer au maintien opérationnel des outils et au développement de nouvelles fonctionnalités,Réaliser les tests unitaires, d'intégration et méthode de test BDD, TDD,Réaliser la correction des anomalies éventuelles,Participer à la rédaction de la documentation,Participer au processus l'intégration continue,Construire et utiliser des APIs,Participer à des projets avec de fortes contraintes techniques, de sécurité et de performances.Profil :Vous avez une expérience d'au moins 2 ans en développement Python, la maîtrise des Framework Django et/ou Flask est un plus.Force de proposition, vous êtes rigoureux(se) et efficace dans votre travail. Idéalement vous avez déjà travaillé en méthodologie Agile.Vous maîtrisez ou souhaitez vous familiariser avec les outils DEVOPS : Jenkins, Kubernetes par exemple.Vous parlez couramment français et anglais, la connaissance du néerlandais est un plus.#Python, #JavaScript, #Flask, #Django, #Angular, #Fullstack","Analytique, vous avez une âme d'enquêteur et les énigmes n'ont aucun secret pour vousOrganisé, vous êtes l'as des to-do listEfficace, vous ne remettez pas à demain ce qui peut être fait dès aujourd'hui","Vous souhaitez rejoindre une entreprise qui place l'humain au coeur de ses préoccupations ? On vous attend chez Extia !Société de conseil spécialisée dans les métiers de l'IT, de l'ingénierie et du digital, Extia privilégie depuis sa création en 2007 une approche qui allie performance et bien-être au travail. Une vision de l'entreprise partagée aujourd'hui par plus de 3 000 Extien(ne)s en France et à l'international et récompensée depuis 2012 par le label Great Place to Work®.Chez Extia, c'est « D'abord qui, ensuite quoi » alors, allons-y !"
7,Bruxelles,Développeur Python F/H,2023-11-23T01:01:57.000+0000,2023-11-06T01:21:59.000+0000,"['Anglais', 'Français']","['Force de proposition', 'Implication', 'Passionne', 'Persévérance', 'Rigueur']","['Base de données', 'Comptabilité', 'DevOps', 'Django', 'Documentation', 'Framework', 'Framework de programmation', 'Intégration continue', 'Jenkins', 'Kubernetes', 'Méthodologie agile', 'Outils de développement', 'Python', 'Rédaction', 'Test Driven Development', 'Test unitaire']",A négocier,Hellowork,Hellowork,"Entouré(e) d'une équipe de passionnés, comme vous, vous aurez la charge de :Participer au maintien opérationnel des outils et au développement de nouvelles fonctionnalités.Réaliser les tests unitaires, d'intégration et méthode de test BDD, TDD.Réaliser la correction des anomalies éventuelles.Participer à la rédaction de la documentation.Participer au processus l'intégration continue.Construire et utiliser des APIs.Participer à des projets avec de fortes contraintes techniques, de sécurité et de performances.Profil :Vous avez une expérience d'au moins 2 ans en développement Python, la maîtrise des Framework Django ou Flask est un plus.Force de proposition, vous êtes rigoureux(se) et efficace dans votre travail.Idéalement vous avez déjà travaillé en méthodologie Agile.Vous maîtrisez ou souhaitez vous familiariser avec les outils DEVOPS : Jenkins, Kubernetes par exemple.- Vous parlez couramment français et anglais.#Python, #JavaScript, #Flask, #Django, #Angular, #Fullstack#LI-LT1","Impliqué, votre équipe peut toujours compter sur vous.Tenace, vous persistez dans l'atteinte de vos objectifs et résistez à toutes les épreuves sans baisser les bras.Ayant le goût du résultat, avec vous il n'y a pas de problème, il n'y a que des solutions","Vous souhaitez rejoindre une entreprise qui place l'humain au coeur de ses préoccupations ? On vous attend chez Extia !Société de conseil spécialisée dans les métiers de l'IT, de l'ingénierie et du digital, Extia privilégie depuis sa création en 2007 une approche qui allie performance et bien-être au travail. Une vision de l'entreprise partagée aujourd'hui par plus de 3 000 Extien(ne)s en France et à l'international et récompensée depuis 2012 par le label Great Place to Work®.Chez Extia, c'est « D'abord qui, ensuite quoi » alors, allons-y !"
8,PARIS 08,Concepteur Python F/H,2023-11-22T07:05:48.000+0000,2023-10-11T05:59:29.000+0000,['Anglais'],"['Curiosité', 'Proactivité', 'Autonomie', 'Capacité de communication', 'Passionne', 'Polyvalence']","['Python', 'Android', 'Documentation', 'Génie informatique', 'Intégration continue', 'Linux', 'Mise en production', 'Packaging', 'Rédaction de spécifications techniques et fonctionnelles', ""Technologies innovantes et management de l'innovation"", ""Test d'intégration"", 'Test unitaire', 'Traitement par lots', 'Tube Unix']",30 - 40 k€ brut annuel,ALVEOO CONSULTING,Alveoo Consulting,"Afin de renforcer nos équipes Alveoo consulting recherche un concepteur Python.  Développeur aguerri, passionné de technologies, vous appréciez les choses bien faites, êtes curieux et aimez innover dans le contexte de projets stratégiques. Vous intégrerez une organisation agile qui met en avant la proximité, la réactivité, l'autonomie, le flat management.Vos missions·  Bonne compréhension des besoins fonctionnels·  Gestion des spécifications techniques·  Contribuer au design et à l implémentation des différents services ·  Développer les fonctionnalités, ·  Mise en place des pipelines d intégration continue, du packaging·  Développement des tests unitaires, des tests d intégration et documentation·  Assurer les mises en production et la réactivité nécessaires","·  Bac+5 de formation ingénierie informatique ou logicielle·  Une bonne expérience dans le développements des applications·  Maitrise des technologies                    1) Python Obligatoire                    2) En en plus soit                               - et/ou Intégration système, Android, batch, scripts Linux, anglais                               - et/ou Golang /C++.·  Bonne communication·  Votre polyvalence ou votre curiosité vous permettra de passer d'une technologie à une autre.·  Une expérience Agile et un intérêt marqué pour cette méthodologieCe que nous proposons·  Une opportunité unique de participer à la croissance d une entreprise sur un secteur d'avenir·  Un environnement de travail moderne et agréable et vue sur les montagnes·  Une atmosphère agréable et fun·  Avantages & opportunités de télétravailLieu: Grenoble ou Lyon ou Paris","Créée en 2012, Alveoo Consulting est une société de conseil en services et d'ingénierie informatique.Alveoo Consulting intervient dans différents domaines : Télécoms, Médical, Industrie, Energie, Immobilier, Bancaire, R&D.Nous sommes sur les régions Rhône Alpes Auvergne Paris Paca Pays de la Loire.Structure à taille humaine.6202A - CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES"
9,Bruxelles,Développeur Python F/H,2023-11-23T01:01:55.000+0000,2023-11-06T01:20:23.000+0000,,"['Autonomie', 'Capacité de synthèse', 'Curiosité', ""Esprit d'équipe"", 'Passionne', 'Rigueur']","['Python', 'Ansible', 'Base de données', 'DevOps', 'Django', 'Docker', 'Documentation', 'Framework', 'Framework de programmation', 'Informatique', 'Intégration continue', 'Interface de programmation applicative', 'Kubernetes', 'Méthodologie agile', 'Outils de développement', 'Rédaction', 'SQL', 'Test Driven Development', 'Test unitaire']",A négocier,Hellowork,Hellowork,"DESCRIPTION DU POSTEDirectement intégré(e) dans l'équipe opérationnelle de l'un de nos clients en régie, vous serez entouré(e) d'une équipe de passionnés, comme vous, et vous aurez la charge de :-  Participer au maintien opérationnel des outils et au développement de nouvelles fonctionnalités,-  Réaliser les tests unitaires, d'intégration et méthode de test BDD, TDD,-  Réaliser la correction des anomalies éventuelles,-  Participer à la rédaction de la documentation,-  Participer au processus l'intégration continue,-  Construire et utiliser des APIs,-  Participer à des projets avec de fortes contraintes techniques, de sécurité et de performances.PROFIL RECHERCHÉ-  Issu(e) d'une formation supérieure en informatique, idéalement école d'Ingénieur (minimum Bac +3)-  Vous justifiez d'au moins deux ans d'expérience en développement Python-  Vous maîtrisez des environnements techniques complexes sur Python et ses framework (Django, Flask), requêtes SQL, API Management, versionning, etc-  Vous avez une bonne culture DEVOPS : Docker, Kubernetes, Ansible, etc-  Idéalement, vous avez déjà travaillé en méthodologie Agile#LI-LAZ","Rigoureux, vous ne laissez rien au hasardSynthétique, vous êtes capable de résumer le synopsis de Game of Throne en quelques lignes (et on ne parle pas de la dernière saison !)Curieux, votre boite mail est pleine d'alertes de veille pour rester à la pageAutonome, vous savez mener vos missions à bien sans aide","Vous souhaitez rejoindre une entreprise qui place l'humain au coeur de ses préoccupations ? On vous attend chez Extia !Société de conseil spécialisée dans les métiers de l'IT, de l'ingénierie et du digital, Extia privilégie depuis sa création en 2007 une approche qui allie performance et bien-être au travail. Une vision de l'entreprise partagée aujourd'hui par plus de 3 000 Extien(ne)s en France et à l'international et récompensée depuis 2012 par le label Great Place to Work®.Chez Extia, c'est « D'abord qui, ensuite quoi » alors, allons-y !"
