"applicationsCount","companyId","companyName","companyUrl","contractType","description","experienceLevel","jobUrl","location","postedTime","posterFullName","posterProfileUrl","publishedAt","salary","sector","title","workType"
"Over 200 applicants","3205573","DoorDash","https://www.linkedin.com/company/doordash?trk=public_jobs_topcard-org-name","Internship","About the Team

The International Analytics team is looking for Data Analysts and Data Scientists to guide measurement, strategy, and tactical decision-making using Advanced Analytics approaches, as we expand our logistics platform across the globe. Data Scientists at DoorDash work to uncover insights and turn them into actionable recommendations, helping drive decisions for the entire organization. Analytics is very integral to all operational areas at DoorDash.

About the Role

Data Science at DoorDash involves diving deeper into our data to solve crucial business problems, ideate & run experiments to solve for insights gleaned from this deep dive and work with a cross-functional team to drive real-world operational change. It is not just about building Machine Learning models and putting them into production. This is a rare operational and actionable data-driven experience.

We solve many exciting challenges from all three sides of our marketplace including customer acquisition, balancing supply and demand, fraud and support, marketing, marketplace efficiency, and more. If you enjoy finding patterns amidst chaos, are excited to build a market from 0 to 1, and have experience using analytics to affect revenue, growth, operations or beyond, we're looking for someone like you!

You're excited about this opportunity because you will…


 * Be a first-class thought partner to our product, business, finance and executive teams and help them make decisions on what's next for DoorDash
 * Use quantitative analysis and the presentation of data to see beyond the numbers and understand what drives our business
 * Build full-cycle analytics experiments, reports, and dashboards using SQL, Python, R, or other scripting and statistical tools
 * Produce recommendations and use statistical techniques and hypothesis testing and other experimentation techniques to validate your findings
 * Provide insights to enable our cross-functional team to understand marketplace dynamics, user behaviours, and long-term trends
 * Identify and measure levers to help move essential metrics and make recommendations
 * Possess excellent stakeholder management skills, know how to effectively collaborate well with strategy, operations, product, finance and engineering and set priorities
 * Be excited to travel to meet with business partners and the teams in each market
   
   

We're excited about you because you have…


 * 3+ years of experience in data analytics, consulting, or related role
 * The insight to take ambiguous problems and solve them in a structured, hypothesis-driven, data-supported way
 * The determination to initiate and lead/own strategic projects to completion with a cross-functional team
 * Experience working with experimentation techniques (A/B testing, Causal Inference) and interpreting hypothesis testing
 * Proficiency in at least one programming language (Python, R,...)
 * Expertise with SQL queries, ETLs, etc…
 * Proficiency in one or more analytics & visualization tools
 * Experience building and training statistical and machine learning models (classifiers, regression models...)
   
   

About DoorDash

At DoorDash, our mission to empower local economies shapes how our team members move quickly, learn, and reiterate in order to make impactful decisions that display empathy for our range of users—from Dashers to merchant partners to consumers. We are a technology and logistics company that started with door-to-door delivery, and we are looking for team members who can help us go from a company that is known for delivering food to a company that people turn to for any and all goods.

DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. We're committed to supporting employees' happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more.

Our Commitment to Diversity and Inclusion

We're committed to growing and empowering a more inclusive community within our company, industry, and cities. That's why we hire and cultivate diverse teams of people from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel.

If you need any accommodations, please inform your recruiting contact upon initial connection.

We use Covey as part of our hiring and / or promotional process for jobs in NYC and certain features may qualify it as an AEDT. As part of the evaluation process we provide Covey with job requirements and candidate submitted applications. We began using Covey Scout for Inbound on August 21, 2023.

Please see the independent bias audit report covering our use of Covey here.","Entry level","https://ca.linkedin.com/jobs/view/data-science-analytics-international-at-doordash-3830162848?trk=public_jobs_topcard-title","Toronto, Ontario, Canada","1 month ago","","","2024-02-14","","Technology, Information and Internet","Data Science, Analytics, International","Engineering and Information Technology"
"Over 200 applicants","101205064","Why Hiring","https://www.linkedin.com/company/whyhiring?trk=public_jobs_topcard-org-name","Full-time","At Why Hiring, we believe in the power of connecting talented individuals with incredible remote job opportunities. Our mission is to simplify the job search process and empower professionals to find fulfilling roles that align with their skills and passions, regardless of geographical constraints. Why Hiring is setting the benchmark in both permanent and contract recruitment for Tech clients.




We are looking for a junior data scientist for our client. The ideal candidate will be in driving data-driven decisions by collecting and analyzing data, developing database and system designs, and implementing data security measures. This role focuses on enhancing the data capabilities to improve business solutions and systems operations.




Requirements

 * Education: Bachelor’s degree in STEM (Science, Technology, Engineering, Mathematics) or related field.
 * Experience: 1-3 years of experience in data science or related areas.




Skills:

 * Basic understanding of data collection and analysis techniques.
 * Familiarity with database design and management.
 * Initial exposure to system design and development.
 * Knowledge of data security and privacy principles.
 * Ability to research and apply technical information in developing software solutions.
 * Proficiency in troubleshooting and implementing maintenance procedures for software and systems.




Personal Attributes: Strong analytical skills, detail-oriented, proactive in learning new technologies, excellent problem-solving abilities, and effective communication skills.




Responsibilities

 * Gather user requirements and document these needs for project planning.
 * Develop clear and logical specifications based on user requirements.
 * Design and develop databases that meet project and user needs.
 * Employ technical knowledge to design, develop, test, and improve computer-based systems.
 * Create and modify data models and database management systems for efficient data processing.
 * Plan and coordinate the development, installation, and integration of computer-based systems.
 * Offer advice on information system strategies, policy, management, and service delivery based on project needs.
 * Evaluate and advise on the application of database management tools.
 * Assess risks to data, software, and hardware security and develop mitigation strategies.
 * Develop data administration policies and standards to ensure data integrity.
 * Formulate and implement policies and procedures for software development life cycle, focusing on security and quality assurance.




Application Process: Our recruitment team will review all applications thoroughly. Candidates who best match the position requirements will be contacted for the next phase of the selection process, which may include online assessments and virtual or in-person interviews.","Entry level","https://ca.linkedin.com/jobs/view/junior-data-scientist-at-why-hiring-3863817533?trk=public_jobs_topcard-title","Canada","1 day ago","","","2024-03-20","","Staffing and Recruiting","Junior Data Scientist","Engineering and Information Technology"
"Over 200 applicants","12446","Circle K","https://ca.linkedin.com/company/circle-k?trk=public_jobs_topcard-org-name","Full-time","Responsibilities/Accountabilities


 * Develop advanced analytics and predictive models from design through implementation in the areas of pricing and promotion, marketing, merchandising, and other areas of the business as needed
 * Participate in the research of analytical methods to find or advance solutions to business problems
 * Clearly and concisely explain complex analytical findings to non-analytical peers and business leaders
 * Create analytic datasets in collaboration with data engineering teams that involves data querying, cleaning, transformation, and feature engineering. Define requirements and test cases for Data validation and monitoring
 * Author programming code (e.g., SQL, Python, R, spark) to assemble and analyze data, following/establishing/enhancing organizational standards and coding practices including code management (i.e. Documentation, use of Git Hub). Lead and participate in peer code reviews for QA/QC/standards compliance.
 * Train/Mentor other team members, provide developmental support where necessary
 * Follow defined project management processes. Actively participate in project plan development and agile ceremonies (development of backlog, sprint planning, daily standups, retros/reviews) and documentation.
   
   

Knowledge, Skills And Other Qualifications Required


 * Demonstrated knowledge of SQL, R and Python;
 * Experience querying large datasets using SparkSQL or PySpark;
 * Experience with ML frameworks such as scikit-learn, Tensorflow, Keras, Pytorch, etc.;
 * Exposure with software development practices, object-oriented principles and test automation;
 * Exposure to version control systems such as Git – experience preferred
 * Experience with cloud-based analytics environments (Azure, AWS or GCP);
 * Experience applying operational research, statistical and machine learning techniques such as regression, time series forecasting, clustering, optimization, etc.;
 * Exposure to agile methodologies using project planning and tracking management tools e.g., JIRA; experience preferred
 * Strong problem-solving skills including problem spotting and problem scoping;
 * Strong interpersonal skills, including the ability to communicate the business benefits of analytics;
 * Availability to travel up to 10% of the time
 * Hybrid schedule with a minimum three days in the office
   
   

Education/Training Required


 * Bachelor’s degree required, preferably with a quantitative focus (Statistics, Business Analytics, Data Science, Math, Economics, etc.)
 * Master’s degree preferred
 * Internships / experience in data science or related roles preferred
 * Masters degree / Bachelors + internship experience in a data science/advanced analytics role, or demonstrated ability to perform job functions via academic project/internship experience
   
   

Circle K values diversity in the workplace and encourages applications from the following designated groups: women, aboriginal peoples, persons with disabilities and members of visible minorities. We are committed to providing employment accommodation in accordance with the Ontario Human Rights Code and the Accessibility for Ontarians with Disabilities Act. Accommodations are available on request in all aspects of the selection process.

R405703

","Entry level","https://ca.linkedin.com/jobs/view/associate-data-scientist-at-circle-k-3836004321?trk=public_jobs_topcard-title","Toronto, Ontario, Canada","1 month ago","Kelsea Lookedoo","https://www.linkedin.com/in/kelsea-lookedoo-7851b9211","2024-02-21","","Retail","Associate Data Scientist","Engineering and Information Technology"
"62 applicants","2648012","TV2 Consulting","https://www.linkedin.com/company/tv2-consulting?trk=public_jobs_topcard-org-name","Contract"," * python and geospatial analytics experience required
 * Data analytics, using geospatial predictive modeling, and traditional data analytics
 * Some NLP work that will need to perform some NER, summarization, and sentiment analysis
 * requires working with our internal datasets using geospatial manipulation libraries, dashboarding libraries (dash, flask, matplotlib) and some ML/AI libraries (numpy, pandas, scikit, etc)
 * Python development data processing/ETL, API development and pipeline automation
 * assist with on-going competitive use cases and cloud environment issues when required
   
   

Benefits


 * Work hours are Monday - Friday, normal 37.5 hours weeks working onsite up to 5 days a week
 * Location: Onsite in Toronto
 * Type of job: Temporary Contractor
 * Hourly contract rate: $70-85 per hour CAD depending on experience
 * Date candidate required: Immediate
 * Length of Contract: 12 months with the possibility of extension","Entry level","https://ca.linkedin.com/jobs/view/data-scientist-at-tv2-consulting-3846043861?trk=public_jobs_topcard-title","Toronto, Ontario, Canada","1 month ago","","","2024-02-08","","Technology, Information and Internet","Data Scientist","Engineering and Information Technology"
"Over 200 applicants","86813252","LTIMindtree","https://in.linkedin.com/company/ltimindtree?trk=public_jobs_topcard-org-name","Full-time","About Us:

LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 700+ clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit www.ltimindtree.com.




Job Title:

Associate Principal - Data Sciences




Work Location

Canada Markham, Ontario




Job Description:

Data Scientist

Data scientists use statistical methods to collect and organize data. Problem-solving skills. Data scientists must devise solutions to the problems they encounter in data collection and cleaning and in developing statistical models and algorithms. Data scientists examine which questions need answering and where to find the related data. They must possess business acumen and analytical skills as well as the ability to mine, clean, and present data.

Must be hands-on coding capable in at least a core Language skill of Python Expertise in working with Distributed DW and Cloud Services (like Snowflake, AWS etc.) via scripted pipelines for at least 5 years Solid grasp of database engineering and design Leveraged frameworks & orchestration as required for ETL pipeline Identify bottlenecks and bugs in the system and develop scalable solutions Unit Test & Document deliverables Capacity to successfully manage a pipeline of duties with minimal supervision.



• Experience with AWS suite of Services/Resources

• Agile framework

• CICD Pipeline Orchestration

• Building data pipelines (ETL) and using tools like Apache Spark

• Frontend/Interactive Visualizations - Streamlit, Plotly

• Programming Languages - Python, SQL, OOP - Object Oriented Programming

• ML Frameworks/Open Source Libraries - scikit-learn, TensorFlow, PyTorch, Keras and others • Experience with Data Science Lifecycle - Acquisition, data processing, building models, optimization, deployment and maintenance

• MLOps Frameworks - working with model inferences and endpoints Container Orchestration - Docker, Kubernetes (working with Kubernetes) As a Machine Learning Engineer, build and maintain large scale ML Infrastructure and ML pipelines. Contribute to building advanced analytics, machine learning platform and tools to enable both prediction and optimization of models. Extend existing ML Platform and frameworks for scaling model training & deployment.

• Considerable years of experience in developing ML infrastructure and MLOps in the Cloud using AWS Sagemaker.

• Extensive experience working with machine learning models with respect to deployment, inference, tuning, and measurement required.

• Experience with building data pipelines in getting the data required to build and evaluate ML models, using tools like Apache Spark or other distributed data processing frameworks. • Data movement technologies (ETL/ELT), Messaging/Streaming Technologies (AWS SQS, Kinesis/Kafka), Relational and NoSQL databases (DynamoDB, EKS, Graph database), API and in-memory technologies.

• Strong knowledge of developing highly scalable distributed systems using Open-source technologies.

• Experience with CI/CD tools (e.g., Jenkins or equivalent), version control (Git), orchestration/DAGs tools (AWS Step Functions, Airflow, Luigi, Kubeflow, or equivalent).

• Solid experience in Agile methodologies (Kanban and SCRUM). Skills must have

• Must have strong technical design and analysis skills.

• Must have the ability to deal with ambiguity and work in fast paced environment.

• Must have experience supporting critical applications.

• Must be familiar with applied data science methods, feature engineering and machine learning algorithms.

• Must have Data wrangling experience with structured, semi-structure and unstructured data.

• Must have experience building ML infrastructure, with an eye towards software engineering.

• Must have excellent communication skills, both through written and verbal channels.

• Must have excellent collaboration skills to work with multiple teams in the organization.

• Must be able to understand and adapt to changing business priorities and technology advancements in Big data and Data Science ecosystem.




Benefits/perks listed below may vary depending on the nature of your employment with LTIMindtree (“LTIM”):




Benefits and Perks:

 1. Comprehensive Medical Plan Covering Medical, Dental, Vision
 2. Short Term and Long-Term Disability Coverage
 3. 401(k) Plan with Company match
 4. Life Insurance
 5. Vacation Time, Sick Leave, Paid Holidays
 6. Paid Paternity and Maternity Leave




The range displayed on each job posting reflects the minimum and maximum salary target for the position across all US locations. Within the range, individual pay is determined by work location and job level and additional factors including job-related skills, experience, and relevant education or training. Depending on the position offered, other forms of compensation may be provided as part of overall compensation like an annual performance-based bonus, sales incentive pay and other forms of bonus or variable compensation.




Disclaimer: The compensation and benefits information provided herein is accurate as of the date of this posting.




LTIMindtree is an equal opportunity employer that is committed to diversity in the workplace. Our employment decisions are made without regard to race, color, creed, religion, sex (including pregnancy, childbirth or related medical conditions), gender identity or expression, national origin, ancestry, age, family-care status, veteran status, marital status, civil union status, domestic partnership status, military service, handicap or disability or history of handicap or disability, genetic information, atypical hereditary cellular or blood trait, union affiliation, affectional or sexual orientation or preference, or any other characteristic protected by applicable federal, state, or local law, except where such considerations are bona fide occupational qualifications permitted by law.




Safe return to office:

In order to comply with LTIMindtree’ s company COVID-19 vaccine mandate, candidates must be able to provide proof of full vaccination against COVID-19 before or by the date of hire. Alternatively, one may submit a request for reasonable accommodation from LTIMindtree’s COVID-19 vaccination mandate for approval, in accordance with applicable state and federal law, by the date of hire. Any request is subject to review through LTIMindtree’s applicable processes.","Mid-Senior level","https://ca.linkedin.com/jobs/view/data-scientist-at-ltimindtree-3841325185?trk=public_jobs_topcard-title","Markham, Ontario, Canada","3 weeks ago","Reshma Shameer","https://in.linkedin.com/in/reshma-shameer-378358167","2024-02-29","$120,000.00-$150,000.00","IT Services and IT Consulting","Data Scientist","Information Technology"
"82 applicants","10250977","Acerta","https://ca.linkedin.com/company/acerta-systems-analytics?trk=public_jobs_topcard-org-name","Full-time","Help us transform precision manufacturing!




Acerta is on a mission to understand the digital thread of data for every vehicle. Our customers are global automakers and suppliers who make complex parts that power all kinds of vehicles. We're currently focused on helping manufacturers make better parts more efficiently using machine learning and artificial intelligence (ML/AI). We've built a predictive quality analytics solution called LinePulse to help them make better day-to-day decisions. LinePulse arms them with actionable insights so they can proactively address quality issues before they impact production. Sometimes, our customers want help with problems in the vehicle instead of quality issues in their manufacturing plants. That's OK, too because we also use ML/AI to create unique solutions for specific on-road challenges.




As an integral part of the Machine Learning team at Acerta, you will productize, deploy, maintain, and monitor machine learning models running behind Acerta’s LinePulse and Professional Services If you're ready to make a huge difference in the automotive and off-highway industries, come join our team.




Requirements:




• Minimum of 3 - 5 years of experience using Python

• Experience with deploying DS solutions to production

• Experience with Docker, Kubernetes and Non-relational databases.

• Ability to work in a fast-paced agile environment

• Experience using Git in a team environment

• Flexibility to adjust to changing priorities, requirements, and schedules

• Familiarity with working on remote linux instances




Responsibilities:




• Own significant product requirements and drive them from development to deployment

• Tune and monitor machine learning models deployed for customers.

• Research and apply state of the art in model interpretation and explainability

• Package development in Acerta’s Codebase




Key Competencies:




• Ability to work in a fast-paced agile environment

• Action-oriented

• Collaborative

• Customer-focused

• Detail-oriented

• Excellent analytical skills

• Experience with time-series and operations data.

• Flexibility to adjust to changing priorities, requirements, and schedules.

• Influence without authority

• Innovative

• Pragmatic

• Problem solver

• Process minded

• Resourceful

• Strong oral and written communication

• Team player




We're committed to a diverse and inclusive workplace and strongly encourage applicants from all backgrounds and walks of life. Come join us.","Mid-Senior level","https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-acerta-3842239328?trk=public_jobs_topcard-title","Greater Toronto Area, Canada","3 weeks ago","Aniketh Pradhan","https://ca.linkedin.com/in/aniketh-pradhan-571245222","2024-02-28","CA$130,000.00-CA$160,000.00","Motor Vehicle Manufacturing","Machine Learning Engineer","Engineering and Information Technology"
"Over 200 applicants","51628714","Zortech Solutions","https://ca.linkedin.com/company/zortech?trk=public_jobs_topcard-org-name","Contract","Role: Artificial Intelligence Engineer

Location: Remote/Canada

Duration: 6+ Months

Job Description


 * Security clearance
 * Has worked on AI for 3 years or in a few projects
 * Anywhere in Canada
 * bilingual is an added advantage
 * Tentative start date is the end of March or early April.
   
   

The Job Overview


 * We’re looking for an experienced artificial intelligence engineer to join the revolution, using deep learning, neuro-linguistic programming (NLP), computer vision, chatbots, to help us improve various business outcomes and drive innovation. The engineer will join a multidisciplinary team helping to shape our AI strategy and showcasing the potential for AI through early-stage solutions. This is an excellent opportunity to take advantage of emerging trends and technologies and make a real-world difference.
 * As an artificial intelligence engineer, you will be expected to have a keen interest in artificial intelligence, machine learning, and staying current with the latest developments in a rapidly changing field. Your duties will include collecting and analyzing data sets to identify patterns and develop predictive algorithmic models.
   
   

Responsibilities


 * Understand company and stakeholder challenges and how integrating AI capabilities can help lead to solutions
 * Analyze and explain AI and machine learning (ML) solutions while setting and maintaining high ethical standards
 * Work on functional design, process design (including scenario design, flow mapping), prototyping, testing, in collaboration with your peers in an advanced engineering team and executive leadership
 * Articulate and document the solutions architecture and lessons learned for each exploration and accelerated incubation
 * Serve as liaison between stakeholders and development team, delivering feedback and enabling team members to make necessary changes in product performance or presentation
 * Below are some of the responsibilities an artificial intelligence, machine learning engineer is expected to assume in their position:
 * Design and develop AI models to meet project requirements
 * Convert AI/ML models into APIs that other developers can use
 * Perform statistical analysis on big data sets
   
   

Job Qualifications And Skill Sets


 * Bachelor’s degree or several years of experience in computer science, data science, software development, or another related field; a master’s degree is recommended
 * Solid understanding of common programming languages used in AI, such as Python, Java, C++, and R
 * Experience working with large data sets and writing efficient code capable of processing large data streams at speed
 * Familiarity with deep learning and machine learning algorithms and the use of popular AI/ML frameworks
 * Excellent communication skills; ability to summarize complex subjects simply.
 * Preferred Technical and Professional Expertise
 * Generative AI and LLM
 * Specialization in one of: data visualization, data cleaning, machine learning, deep learning, visual recognition, text mining, or NLP;
 * SQL.","Entry level","https://ca.linkedin.com/jobs/view/artificial-intelligence-engineer-canada-at-zortech-solutions-3835891710?trk=public_jobs_topcard-title","Canada","4 weeks ago","","","2024-02-21","","Human Resources Services","Artificial Intelligence Engineer - Canada","Engineering and Information Technology"
"Over 200 applicants","2010798","Tiger Analytics","https://www.linkedin.com/company/tiger-analytics?trk=public_jobs_topcard-org-name","Full-time","Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Our business value and leadership have been recognized by various market research firms, including Forrester and Gartner.

We are looking for a motivated and passionate Machine Learning Engineers for our team.

As part of this job, you will be responsible for:


 * Providing solutions for the deployment, execution, validation, monitoring, and improvement of data science solutions
 * Creating Scalable Machine Learning systems that are highly performant
 * Building reusable production data pipelines for implemented machine learning models
 * Writing production-quality code and libraries that can be packaged as containers, installed and deployed
   
   
   

Requirements


 * Bachelor's degree or higher in computer science or related, with 5+ years of work experience
 * Ability to collaborate with Data Engineers and Data Scientist to build data and model pipelines and help running machine learning tests and experiments
 * Ability to manage the infrastructure and data pipelines needed to bring ML solution to production
 * End-to-end understanding of applications being created and maintain scalable machine learning solutions in production
 * Ability to abstract complexity of production for machine learning using containers
 * Ability to troubleshoot production machine learning model issues, including recommendations for retrain, revalidate, and improvements
 * Experience with Big Data Projects using multiple types of structured and unstructured data
 * Ability to work with a global team, playing a key role in communicating problem context to the remote teams
 * Excellent communication and teamwork skills
   
   
   

Additional Skills Required:


 * Python, Spark, Hadoop, Docker, with an emphasis on good coding practices in a continuous integration context, model evaluation, and experimental design
 * Test-driven development (prefer py. test/nose), experience with Cloud environments
 * Proficiency in statistical tools, relational databases, and expertise in programming language like python/SQL is desired
   
   
   

Good to have:


 * Knowledge of ML frameworks like Scikitlearn, Tensorflow, Keras, etc
 * Knowledge of MLflow, Airflow, Kubernetes
 * Knowledge on any of the cloud-native MLaaS offerings like AWS SageMaker, AzureML, or Google AI platform
   
   
   

Benefits

Significant career development opportunities exist as the company grows. The position offers a unique opportunity to be part of a small, fast-growing, challenging and entrepreneurial environment, with a high degree of individual responsibility.","Mid-Senior level","https://ca.linkedin.com/jobs/view/machine-learning-engineer-canada-at-tiger-analytics-3676191137?trk=public_jobs_topcard-title","Toronto, Ontario, Canada","8 months ago","","","2023-07-01","","Primary and Secondary Education and Non-profit Organizations","Machine Learning Engineer (Canada)","Engineering and Information Technology"
"Over 200 applicants","74830447","DeepRec.ai","https://uk.linkedin.com/company/deep-rec-ai?trk=public_jobs_topcard-org-name","Full-time","Machine Learning Engineer




DeepRec.ai are hiring for a talented Machine Learning Engineer to join a fantastic organisation in Canada who are using AI to transform and improve the clinical workflow. This is an innovative and inspiring organisation who have specific clinical tasks they need to perform, where they use AI to execute them.




As well as creating datasets through real-world evidence efforts, you'll also act as a thought leader when it comes to building bleeding-edge AI applications, aimed to assist clinicians in practice management, cost reduction, issue prevention and improved health care experiences.




In this role you have a clear career path to evolve into the position of Head of AI, showcasing leadership and strategic abilities. This will be an exciting journey to build their AI practice and a team around you.




Required Skills:




 * Building cloud and native machine learning architecture with: LLamaIndex, HuggingFace, SentenceTransformers, PyTorch, Python, Apache Spark.




 * Experience with practical application of AI and scaling AI with these tools




 * Experience in health care is essential







We would love to share more details with you, please do apply if you feel this could be a fit and we'll reach out promptly to organise a next step.




We look forward to hearing from you","Mid-Senior level","https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-deeprec-ai-3838244838?trk=public_jobs_topcard-title","Canada","1 week ago","Hayley Killengrey","https://www.linkedin.com/in/hayleykillengrey","2024-03-12","$180,000.00-$190,000.00","Health and Human Services, Software Development, and Medical Practices","Machine Learning Engineer","Engineering"
"156 applicants","51628714","Zortech Solutions","https://ca.linkedin.com/company/zortech?trk=public_jobs_topcard-org-name","Full-time","Role: Data Scientist

Location: Remote/Canada

Duration: 3 Months

Job Description

Job Description:


 * We are looking for a hands-on machine learning practitioner to help us extract value from our data. You will lead all the processes from data collection, cleaning, and preprocessing, to training models and deploying them to the server
 * The ideal candidate will be passionate about artificial intelligence and stay up-to-date with the latest developments in the field.
   
   

Soft Skills


 * Excellent Communication skills, Self-driven and innovative
   
   

Responsibilities


 * Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress
 * Analyzing the business case and selecting appropriate ML algorithms that could be used to solve a given problem and ranking them by their success probability
 * Exploring and visualizing data to gain an understanding of it, then identifying differences in data distribution that could affect performance when deploying the model in the real world
 * Identifying Key-risks of the proposed ML solution and proposing strategies to solve them
 * Use machine learning, data mining, and statistical techniques to create new, scalable solutions for business problems
 * Design, develop and evaluate highly innovative models for predictive learning
 * Establish scalable, efficient, automated processes for large-scale data analyses, model development, model validation, and model implementation
   
   

Skills

Mandatory/ Must-Have:


 * Understanding basic statistical models e.g. Linear regression, Logistic regression, SVM, Random forest, etc
 * Proficiency with one of the top deep learning frameworks such as TensorFlow, Torch, or Keras
 * Proficiency with Python and basic libraries for machine learning such as sci-kit-learn, pandas, NumPy, etc
 * Experience in any one of the visualizing and manipulating big datasets. Understanding of mat-plot-lib, seaborn, etc
 * Hands-on experience in developing machine learning, deep learning, statistical modeling, and/or other related modeling techniques
 * 4 + years of hands-on experience in data preparation, data wrangling, model training, model validation, deployment, and familiarity with Linux","Entry level","https://ca.linkedin.com/jobs/view/data-scientist-at-zortech-solutions-3844977984?trk=public_jobs_topcard-title","Toronto, Ontario, Canada","2 weeks ago","","","2024-03-03","","Human Resources Services","Data Scientist","Other"
